,Game,AppID,Review Score,Positive Reviews,Negative Reviews,Review Score Description,Total Review,Units Sold (Estimated),Engine
79,phasmophobia,739630,9,383402,11497,Overwhelmingly Positive,394899,7897980,Unity Engine
80,guns and robots,293540,4,5,10,Mostly Negative,15,300,Unity Engine
81,the elder scrolls: legends,364470,0,0,0,No user reviews,0,0,Unity Engine
82,islanders,1046030,9,13061,664,Overwhelmingly Positive,13725,274500,Unity Engine
83,the last night,612400,0,0,0,No user reviews,0,0,Unity Engine
84,shroud of the avatar: forsaken virtues,326160,5,502,463,Mixed,965,19300,Unity Engine
85,digimon survive,871980,8,1510,340,Very Positive,1850,37000,Unity Engine
86,glittermitten grove,536890,8,259,52,Very Positive,311,6220,Unity Engine
87,house party,611790,8,9921,1392,Very Positive,11313,226260,Unity Engine
88,aaero,499890,8,269,21,Very Positive,290,5800,Unity Engine
89,klonoa phantasy reverie series,1730680,9,796,21,Overwhelmingly Positive,817,16340,Unity Engine
90,the long dark,305620,8,73799,6419,Very Positive,80218,1604360,Unity Engine
91,victory at sea,298480,6,337,117,Mostly Positive,454,9080,Unity Engine
92,iron harvest,826630,6,5820,2026,Mostly Positive,7846,156920,Unity Engine
93,pathologic 2,505230,8,5441,420,Very Positive,5861,117220,Unity Engine
94,aragami,280160,8,7778,814,Very Positive,8592,171840,Unity Engine
95,dex,269650,8,2159,327,Very Positive,2486,49720,Unity Engine
96,human: fall flat,477160,8,123460,7054,Very Positive,130514,2610280,Unity Engine
97,the dwarves,403970,6,737,253,Mostly Positive,990,19800,Unity Engine
98,cloudpunk,746850,8,9116,1084,Very Positive,10200,204000,Unity Engine
99,gunfire reborn,1217060,8,64132,3753,Very Positive,67885,1357700,Unity Engine
100,desperados iii,610370,9,7003,223,Overwhelmingly Positive,7226,144520,Unity Engine
101,shadow blade: reload,272330,8,146,20,Very Positive,166,3320,Unity Engine
102,doom,379720,9,107376,5195,Overwhelmingly Positive,112571,2251420,Unity Engine
103,dusk,519860,9,14485,308,Overwhelmingly Positive,14793,295860,Unity Engine
104,nascar heat evolution,508450,5,153,136,Mixed,289,5780,Unity Engine
105,the lab,450390,8,212,14,Very Positive,226,4520,Unity Engine
106,dawn of the monsters,1642170,8,58,5,Very Positive,63,1260,Unity Engine
107,slime rancher 2,1657630,9,9752,482,Overwhelmingly Positive,10234,204680,Unity Engine
108,action taimanin,1335200,0,0,0,No user reviews,0,0,Unity Engine
109,infinifactory,300570,8,1520,81,Very Positive,1601,32020,Unity Engine
110,yestermorrow,1210490,5,24,11,Mixed,35,700,Unity Engine
111,tyranny,362960,8,7159,1072,Very Positive,8231,164620,Unity Engine
112,pony island,405640,9,9697,453,Overwhelmingly Positive,10150,203000,Unity Engine
113,just shapes & beats,531510,9,13911,305,Overwhelmingly Positive,14216,284320,Unity Engine
114,monument valley 2,1927740,8,302,15,Very Positive,317,6340,Unity Engine
115,helltaker,1289310,8,366,4,Very Positive,370,7400,Unity Engine
116,interstellar marines,236370,5,2285,1918,Mixed,4203,84060,Unity Engine
117,car mechanic simulator 2015,320300,8,10691,913,Very Positive,11604,232080,Unity Engine
118,legend of dungeon,238280,6,863,313,Mostly Positive,1176,23520,Unity Engine
119,the last tinker: city of colors,260160,6,484,138,Mostly Positive,622,12440,Unity Engine
120,double dragon iv,528610,5,390,236,Mixed,626,12520,Unity Engine
121,void bastards,857980,8,2897,415,Very Positive,3312,66240,Unity Engine
122,lost sphear,525240,5,78,64,Mixed,142,2840,Unity Engine
123,everhood,1229380,9,7443,286,Overwhelmingly Positive,7729,154580,Unity Engine
124,ziggurat,308420,8,2367,333,Very Positive,2700,54000,Unity Engine
125,bendy and the ink machine,622650,8,8703,1034,Very Positive,9737,194740,Unity Engine
126,a valley without wind,209330,5,115,70,Mixed,185,3700,Unity Engine
127,clustertruck,397950,8,9032,634,Very Positive,9666,193320,Unity Engine
128,pga tour 2k23,1588010,5,156,89,Mixed,245,4900,Unity Engine
129,big pharma,344850,6,1013,294,Mostly Positive,1307,26140,Unity Engine
130,uberstrike,291210,0,0,0,No user reviews,0,0,Unity Engine
131,i hate running backwards,575820,6,120,41,Mostly Positive,161,3220,Unity Engine
132,heavy bullets,297120,8,935,200,Very Positive,1135,22700,Unity Engine
133,tattletail,568090,8,2495,171,Very Positive,2666,53320,Unity Engine
134,little misfortune,714120,8,4385,491,Very Positive,4876,97520,Unity Engine
135,fract osc,243220,8,328,57,Very Positive,385,7700,Unity Engine
136,badiya,545050,5,145,122,Mixed,267,5340,Unity Engine
137,space pirate trainer,418650,8,2402,129,Very Positive,2531,50620,Unity Engine
138,totally accurate battlegrounds,823130,8,13769,1792,Very Positive,15561,311220,Unity Engine
139,fe,1225580,8,230,33,Very Positive,263,5260,Unity Engine
140,rimworld,294100,9,116771,2056,Overwhelmingly Positive,118827,2376540,Unity Engine
141,gwent: the witcher card game,1284410,0,0,0,No user reviews,0,0,Unity Engine
142,darkwood,274520,8,11637,644,Very Positive,12281,245620,Unity Engine
143,ori and the will of the wisps,1057090,9,82306,2979,Overwhelmingly Positive,85285,1705700,Unity Engine
144,gtfo,493520,8,25932,3830,Very Positive,29762,595240,Unity Engine
145,max: the curse of brotherhood,255390,8,1137,63,Very Positive,1200,24000,Unity Engine
146,runner3,516130,6,160,48,Mostly Positive,208,4160,Unity Engine
147,inscryption,1092790,9,69837,2040,Overwhelmingly Positive,71877,1437540,Unity Engine
148,sword coast legends,325600,5,1224,867,Mixed,2091,41820,Unity Engine
149,ylands,298610,5,2137,1446,Mixed,3583,71660,Unity Engine
150,electronic super joy,244870,8,2280,248,Very Positive,2528,50560,Unity Engine
151,yooka-laylee,360830,6,1866,487,Mostly Positive,2353,47060,Unity Engine
152,punch club,394310,8,6940,1488,Very Positive,8428,168560,Unity Engine
153,far: lone sails,609320,8,9837,601,Very Positive,10438,208760,Unity Engine
154,outer wilds,753640,9,35332,1702,Overwhelmingly Positive,37034,740680,Unity Engine
155,i am setsuna,441830,6,937,352,Mostly Positive,1289,25780,Unity Engine
156,umbrella corps,390340,4,338,608,Mostly Negative,946,18920,Unity Engine
157,house flipper,613100,8,55093,3859,Very Positive,58952,1179040,Unity Engine
158,verdun,242860,8,24047,3443,Very Positive,27490,549800,Unity Engine
159,wizard of legend,445980,8,12496,1114,Very Positive,13610,272200,Unity Engine
160,raft,648800,8,169156,11831,Very Positive,180987,3619740,Unity Engine
161,empyrion - galactic survival,383120,8,19898,4683,Very Positive,24581,491620,Unity Engine
162,dropsy,274350,8,1162,69,Very Positive,1231,24620,Unity Engine
163,superliminal,1049410,8,14956,812,Very Positive,15768,315360,Unity Engine
164,armikrog,334120,5,600,399,Mixed,999,19980,Unity Engine
165,tanki x,607200,0,2,0,2 user reviews,2,40,Unity Engine
166,black book,1138660,8,3201,191,Very Positive,3392,67840,Unity Engine
167,two point hospital,535930,8,19999,1646,Very Positive,21645,432900,Unity Engine
168,adventure time: pirates of the enchiridion,728240,8,358,45,Very Positive,403,8060,Unity Engine
169,battletech,637090,8,15023,3118,Very Positive,18141,362820,Unity Engine
170,osiris: new dawn,402710,5,7066,4437,Mixed,11503,230060,Unity Engine
171,thomas was alone,220780,8,3454,249,Very Positive,3703,74060,Unity Engine
172,children of morta,330020,8,10022,1013,Very Positive,11035,220700,Unity Engine
173,tony stewart's sprint car racing,1240230,8,161,22,Very Positive,183,3660,Unity Engine
174,my time at portia,666140,8,27685,2169,Very Positive,29854,597080,Unity Engine
175,gorogoa,557600,9,11281,304,Overwhelmingly Positive,11585,231700,Unity Engine
176,yooka-laylee and the impossible lair,846870,8,461,53,Very Positive,514,10280,Unity Engine
177,war robots,767560,0,0,0,No user reviews,0,0,Unity Engine
178,neo: the world ends with you,1647550,8,63,1,Very Positive,64,1280,Unity Engine
179,war for the overworld,230190,8,4778,783,Very Positive,5561,111220,Unity Engine
180,corpse party: blood drive,824830,8,190,35,Very Positive,225,4500,Unity Engine
181,saurian,587450,5,797,438,Mixed,1235,24700,Unity Engine
182,crystal caves hd,1330890,8,213,2,Very Positive,215,4300,Unity Engine
183,pewdiepie: legend of the brofist,390520,8,1070,103,Very Positive,1173,23460,Unity Engine
184,wasteland 2,240760,8,3750,807,Very Positive,4557,91140,Unity Engine
185,katamari damacy reroll,848350,8,2916,226,Very Positive,3142,62840,Unity Engine
186,escape plan,417600,0,0,0,No user reviews,0,0,Unity Engine
187,death's door,894020,8,10111,639,Very Positive,10750,215000,Unity Engine
188,jungle rumble,1608210,0,2,1,3 user reviews,3,60,Unity Engine
189,hot lava,382560,8,3768,270,Very Positive,4038,80760,Unity Engine
190,gris,683320,9,48545,1616,Overwhelmingly Positive,50161,1003220,Unity Engine
191,albion online,761890,6,1286,486,Mostly Positive,1772,35440,Unity Engine
192,pac-man world re-pac,1859470,8,293,13,Very Positive,306,6120,Unity Engine
193,forced,249990,6,1298,444,Mostly Positive,1742,34840,Unity Engine
194,"sir, you are being hunted",242880,6,2263,577,Mostly Positive,2840,56800,Unity Engine
195,slender: the arrival,252330,8,5376,726,Very Positive,6102,122040,Unity Engine
196,dungeons 2,262280,6,1616,457,Mostly Positive,2073,41460,Unity Engine
197,big buck hunter arcade,455700,5,29,15,Mixed,44,880,Unity Engine
198,little witch academia: chamber of time,710470,6,722,208,Mostly Positive,930,18600,Unity Engine
199,star trek timelines,600750,0,3,1,4 user reviews,4,80,Unity Engine
200,dead effect 2,394760,6,1221,464,Mostly Positive,1685,33700,Unity Engine
201,subnautica,264710,9,179503,6616,Overwhelmingly Positive,186119,3722380,Unity Engine
202,shadowverse,453480,8,290,66,Very Positive,356,7120,Unity Engine
203,boneworks,823500,8,27660,2325,Very Positive,29985,599700,Unity Engine
204,untitled goose game,837470,9,10201,424,Overwhelmingly Positive,10625,212500,Unity Engine
205,rune factory 5,1702330,8,579,136,Very Positive,715,14300,Unity Engine
206,tabletop simulator,286160,9,31328,1293,Overwhelmingly Positive,32621,652420,Unity Engine
207,"that dragon, cancer",419460,8,1041,115,Very Positive,1156,23120,Unity Engine
208,the novelist,245150,6,417,112,Mostly Positive,529,10580,Unity Engine
209,frog fractions: game of the decade edition,1194840,8,70,0,Very Positive,70,1400,Unity Engine
210,fall guys,1097150,8,338905,75042,Very Positive,413947,8278940,Unity Engine
211,homeworld: deserts of kharak,281610,8,4928,1018,Very Positive,5946,118920,Unity Engine
212,atom rpg,552620,8,6737,872,Very Positive,7609,152180,Unity Engine
213,superhot,322500,8,18815,1974,Very Positive,20789,415780,Unity Engine
214,power rangers: battle for the grid,1110100,8,904,121,Very Positive,1025,20500,Unity Engine
215,oxenfree,388880,8,7379,593,Very Positive,7972,159440,Unity Engine
216,flotsam,821250,6,1543,524,Mostly Positive,2067,41340,Unity Engine
217,fractal,566180,0,2,3,5 user reviews,5,100,Unity Engine
218,super monkey ball: banana blitz hd,1061730,5,150,112,Mixed,262,5240,Unity Engine
219,forgotton anne,542050,8,1098,105,Very Positive,1203,24060,Unity Engine
220,chaos reborn,319050,6,592,194,Mostly Positive,786,15720,Unity Engine
221,rollercoaster tycoon world,282560,4,766,2252,Mostly Negative,3018,60360,Unity Engine
222,freedom planet 2,595500,9,673,27,Overwhelmingly Positive,700,14000,Unity Engine
223,return of the obra dinn,653530,9,15585,518,Overwhelmingly Positive,16103,322060,Unity Engine
224,grow home,323320,8,3237,242,Very Positive,3479,69580,Unity Engine
225,space hulk,242570,6,1051,442,Mostly Positive,1493,29860,Unity Engine
226,florence,1102130,8,6714,470,Very Positive,7184,143680,Unity Engine
227,the bridge,204240,8,2749,357,Very Positive,3106,62120,Unity Engine
228,moebius: empire rising,264520,6,108,30,Mostly Positive,138,2760,Unity Engine
229,crayola scoot,772530,6,23,8,Mostly Positive,31,620,Unity Engine
230,ghost of a tale,417290,8,3034,264,Very Positive,3298,65960,Unity Engine
231,temtem,745920,8,24347,4422,Very Positive,28769,575380,Unity Engine
232,guns of icarus online,82060,0,0,0,No user reviews,0,0,Unity Engine
233,defunct,359350,8,404,91,Very Positive,495,9900,Unity Engine
234,layers of fear,391720,8,9998,1031,Very Positive,11029,220580,Unity Engine
235,doki doki literature club plus!,1388880,9,15552,524,Overwhelmingly Positive,16076,321520,Unity Engine
236,streets of rogue,512900,9,11909,426,Overwhelmingly Positive,12335,246700,Unity Engine
237,140,242820,8,1738,102,Very Positive,1840,36800,Unity Engine
238,adventures of pip,303550,8,122,20,Very Positive,142,2840,Unity Engine
239,there is no game: wrong dimension,1240210,9,15858,326,Overwhelmingly Positive,16184,323680,Unity Engine
240,paw patrol: on a roll,758730,8,211,37,Very Positive,248,4960,Unity Engine
241,hellpoint,628670,6,1647,450,Mostly Positive,2097,41940,Unity Engine
242,assault android cactus,250110,8,1102,59,Very Positive,1161,23220,Unity Engine
243,super bomberman r,702700,5,191,152,Mixed,343,6860,Unity Engine
244,in other waters,890720,8,944,89,Very Positive,1033,20660,Unity Engine
245,torment: tides of numenera,272270,6,1257,499,Mostly Positive,1756,35120,Unity Engine
246,lifeless planet,261530,6,1800,515,Mostly Positive,2315,46300,Unity Engine
247,paralives,1118520,0,0,0,No user reviews,0,0,Unity Engine
248,project hospital,868360,8,4700,640,Very Positive,5340,106800,Unity Engine
249,death squared,471810,8,296,24,Very Positive,320,6400,Unity Engine
250,stranded deep,313120,6,25962,8290,Mostly Positive,34252,685040,Unity Engine
251,slime rancher,433340,9,85028,1807,Overwhelmingly Positive,86835,1736700,Unity Engine
252,transformers: battlegrounds,1177000,7,40,7,Positive,47,940,Unity Engine
253,sairento vr,555880,8,1199,172,Very Positive,1371,27420,Unity Engine
254,deus ex: the fall,258180,4,1161,2064,Mostly Negative,3225,64500,Unity Engine
255,alba: a wildlife adventure,1337010,9,2879,61,Overwhelmingly Positive,2940,58800,Unity Engine
256,dungeons 3,493900,8,10776,658,Very Positive,11434,228680,Unity Engine
257,plague inc: evolved,246620,8,37772,2208,Very Positive,39980,799600,Unity Engine
258,dreamfall chapters,237850,8,2434,509,Very Positive,2943,58860,Unity Engine
259,ape out,447150,8,2069,127,Very Positive,2196,43920,Unity Engine
260,donut county,702670,8,5604,613,Very Positive,6217,124340,Unity Engine
261,wasteland 3,719040,8,10401,1968,Very Positive,12369,247380,Unity Engine
262,kentucky route zero,231200,8,1873,392,Very Positive,2265,45300,Unity Engine
263,crab game,1782210,0,0,0,No user reviews,0,0,Unity Engine
264,oxygen not included,457140,9,80317,2892,Overwhelmingly Positive,83209,1664180,Unity Engine
265,besiege,346010,9,38177,1739,Overwhelmingly Positive,39916,798320,Unity Engine
266,the silver case,476650,8,402,67,Very Positive,469,9380,Unity Engine
267,deemo -reborn-,1282210,8,2443,337,Very Positive,2780,55600,Unity Engine
268,the room,288160,9,19854,458,Overwhelmingly Positive,20312,406240,Unity Engine
269,valley,378610,8,5366,499,Very Positive,5865,117300,Unity Engine
270,ooblets,593150,0,0,0,No user reviews,0,0,Unity Engine
271,super lucky's tale,847360,8,316,54,Very Positive,370,7400,Unity Engine
272,everything,582270,8,2309,442,Very Positive,2751,55020,Unity Engine
273,shellshock live,326460,8,23891,1602,Very Positive,25493,509860,Unity Engine
274,pathfinder: kingmaker,640820,6,17612,4866,Mostly Positive,22478,449560,Unity Engine
275,pillars of eternity ii: deadfire,560130,8,9503,1413,Very Positive,10916,218320,Unity Engine
276,sylvio,362860,6,83,26,Mostly Positive,109,2180,Unity Engine
277,firewatch,383870,8,48232,6205,Very Positive,54437,1088740,Unity Engine
278,vrchat,438100,8,126,25,Very Positive,151,3020,Unity Engine
279,the forest,242760,9,327897,16141,Overwhelmingly Positive,344038,6880760,Unity Engine
280,broforce,274190,9,39041,1161,Overwhelmingly Positive,40202,804040,Unity Engine
281,kairo,233230,6,1076,373,Mostly Positive,1449,28980,Unity Engine
282,phoenix point,839770,6,2472,934,Mostly Positive,3406,68120,Unity Engine
283,organ trail: director's cut,233740,8,1915,215,Very Positive,2130,42600,Unity Engine
284,the mummy demastered,630310,8,328,75,Very Positive,403,8060,Unity Engine
285,pikuniku,572890,9,4685,189,Overwhelmingly Positive,4874,97480,Unity Engine
286,battletoads,1244950,5,1090,471,Mixed,1561,31220,Unity Engine
287,the room two,425580,9,14144,312,Overwhelmingly Positive,14456,289120,Unity Engine
288,unturned,304930,8,6979,729,Very Positive,7708,154160,Unity Engine
289,sudden strike 4,373930,6,3915,1165,Mostly Positive,5080,101600,Unity Engine
290,knights and bikes,592480,8,270,23,Very Positive,293,5860,Unity Engine
291,outward,794260,6,12168,4210,Mostly Positive,16378,327560,Unity Engine
292,sunless sea,304650,8,5643,1058,Very Positive,6701,134020,Unity Engine
293,ultimate chicken horse,386940,9,22283,791,Overwhelmingly Positive,23074,461480,Unity Engine
294,hardspace: shipbreaker,1161580,8,11549,1401,Very Positive,12950,259000,Unity Engine
295,uboat,494840,8,10619,2519,Very Positive,13138,262760,Unity Engine
296,shadow tactics: blades of the shogun,418240,9,24963,968,Overwhelmingly Positive,25931,518620,Unity Engine
297,hollow knight: silksong,1030300,0,0,0,No user reviews,0,0,Unity Engine
298,aegis defenders,371140,6,106,31,Mostly Positive,137,2740,Unity Engine
299,observation,906100,6,2694,678,Mostly Positive,3372,67440,Unity Engine
300,robocraft,301520,5,1665,863,Mixed,2528,50560,Unity Engine
301,dear esther: landmark edition,520720,6,1183,323,Mostly Positive,1506,30120,Unity Engine
302,nascar heat 2,670900,5,233,128,Mixed,361,7220,Unity Engine
303,lovers in a dangerous spacetime,252110,8,2530,179,Very Positive,2709,54180,Unity Engine
304,my summer car,516750,8,40252,2651,Very Positive,42903,858060,Unity Engine
305,nascar heat 3,905450,6,316,107,Mostly Positive,423,8460,Unity Engine
306,pga tour 2k21,1016120,8,4168,769,Very Positive,4937,98740,Unity Engine
307,eco,382310,8,6668,1475,Very Positive,8143,162860,Unity Engine
308,cypher,746710,8,492,41,Very Positive,533,10660,Unity Engine
309,descenders,681280,9,9609,444,Overwhelmingly Positive,10053,201060,Unity Engine
310,crawl,293780,9,4444,217,Overwhelmingly Positive,4661,93220,Unity Engine
311,car mechanic simulator 2014,270850,8,3144,688,Very Positive,3832,76640,Unity Engine
312,triple town,209950,8,491,37,Very Positive,528,10560,Unity Engine
313,overload,448850,8,1238,72,Very Positive,1310,26200,Unity Engine
314,monument valley,1927720,9,741,9,Overwhelmingly Positive,750,15000,Unity Engine
315,kerbal space program,220200,9,82574,4202,Overwhelmingly Positive,86776,1735520,Unity Engine
316,subnautica: below zero,848450,8,59194,5641,Very Positive,64835,1296700,Unity Engine
317,river city girls,1049320,8,1760,306,Very Positive,2066,41320,Unity Engine
318,syberia 3,464340,5,1214,1121,Mixed,2335,46700,Unity Engine
319,demon turf,1325900,8,230,29,Very Positive,259,5180,Unity Engine
320,haven,983970,8,2824,229,Very Positive,3053,61060,Unity Engine
321,the stanley parable: ultra deluxe,1703340,8,13680,907,Very Positive,14587,291740,Unity Engine
322,dead secret,402260,8,351,85,Very Positive,436,8720,Unity Engine
323,getting over it with bennett foddy,240720,8,39674,7990,Very Positive,47664,953280,Unity Engine
324,viridi,375950,8,121,11,Very Positive,132,2640,Unity Engine
325,chessaria: the tactical adventure,575340,6,69,21,Mostly Positive,90,1800,Unity Engine
326,praey for the gods,494430,8,1539,275,Very Positive,1814,36280,Unity Engine
327,castle story,227860,5,4557,2577,Mixed,7134,142680,Unity Engine
328,shadowrun returns,234650,8,7722,982,Very Positive,8704,174080,Unity Engine
329,ravenfield,636480,9,49542,1425,Overwhelmingly Positive,50967,1019340,Unity Engine
330,bug fables: the everlasting sapling,1082710,9,3155,67,Overwhelmingly Positive,3222,64440,Unity Engine
331,blues and bullets,378660,5,669,429,Mixed,1098,21960,Unity Engine
332,risk of rain 2,632360,9,138238,4813,Overwhelmingly Positive,143051,2861020,Unity Engine
333,ori and the blind forest,261570,9,39870,1916,Overwhelmingly Positive,41786,835720,Unity Engine
334,shovel knight dig,1416050,6,293,121,Mostly Positive,414,8280,Unity Engine
335,hotel transylvania 3: monsters overboard,757600,6,7,3,Mostly Positive,10,200,Unity Engine
336,tacoma,343860,8,2214,318,Very Positive,2532,50640,Unity Engine
337,bus simulator 16,324310,5,1320,725,Mixed,2045,40900,Unity Engine
338,my friend pedro,557340,9,20486,789,Overwhelmingly Positive,21275,425500,Unity Engine
339,beat saber,620980,9,57225,2319,Overwhelmingly Positive,59544,1190880,Unity Engine
340,sally face,541570,9,11479,342,Overwhelmingly Positive,11821,236420,Unity Engine
341,gone home,232430,6,9422,2815,Mostly Positive,12237,244740,Unity Engine
342,gang beasts,285900,8,28553,6376,Very Positive,34929,698580,Unity Engine
343,hollow knight,367520,9,215763,6132,Overwhelmingly Positive,221895,4437900,Unity Engine
344,poly bridge,367450,8,12094,1078,Very Positive,13172,263440,Unity Engine
345,mother russia bleeds,361300,8,3177,446,Very Positive,3623,72460,Unity Engine
346,valheim,892970,9,298036,14367,Overwhelmingly Positive,312403,6248060,Unity Engine
347,dungeonland,218130,5,206,131,Mixed,337,6740,Unity Engine
348,super monkey ball banana mania,1316910,8,763,103,Very Positive,866,17320,Unity Engine
349,enter the gungeon,311690,9,59286,2418,Overwhelmingly Positive,61704,1234080,Unity Engine
350,blitzkrieg 3,235380,5,2690,2031,Mixed,4721,94420,Unity Engine
351,road 96,1466640,8,8385,748,Very Positive,9133,182660,Unity Engine
352,volume,365770,6,279,71,Mostly Positive,350,7000,Unity Engine
353,among us,945360,8,516793,44055,Very Positive,560848,11216960,Unity Engine
354,cognition: an erica reed thriller,242780,8,277,54,Very Positive,331,6620,Unity Engine
