,Game,AppID,Review Score,Positive Reviews,Negative Reviews,Review Score Description,Total Review,Units Sold (Estimated),Engine,Is Free,Price,Initial Price,Discounted Percent,Currency,Windows,Mac,Linux,Publishers,Release Date,Required Age
165,children of morta,330020,8,10022,1013,Very Positive,11035,220700,Unity Engine,False,21.99,21.99,0.0,USD, True, True, True,11 bit studios,"Sep 3, 2019",0
166,tony stewart's sprint car racing,1240230,8,161,22,Very Positive,183,3660,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,"['monster games', ' inc.']","Feb 21, 2020",0
167,my time at portia,666140,8,27685,2169,Very Positive,29854,597080,Unity Engine,False,29.99,29.99,0.0,USD, True, True, False,team17,"Jan 15, 2019",0
168,gorogoa,557600,9,11281,304,Overwhelmingly Positive,11585,231700,Unity Engine,False,14.99,14.99,0.0,USD, True, True, False,annapurna interactive,"Dec 14, 2017",0
169,yooka-laylee and the impossible lair,846870,8,461,53,Very Positive,514,10280,Unity Engine,False,29.99,29.99,0.0,USD, True, False, False,team17 digital ltd,"Oct 8, 2019",0
170,neo: the world ends with you,1647550,8,63,1,Very Positive,64,1280,Unity Engine,False,59.99,59.99,0.0,USD, True, False, False,square enix,"Oct 19, 2022",0
171,war for the overworld,230190,8,4778,783,Very Positive,5561,111220,Unity Engine,False,29.99,29.99,0.0,USD, True, True, True,brightrock games,"Apr 2, 2015",0
172,corpse party: blood drive,824830,8,190,35,Very Positive,225,4500,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,xseed games,"Oct 10, 2019",0
173,saurian,587450,5,797,438,Mixed,1235,24700,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,"['urvogel games', ' llc']","Aug 2, 2017",0
174,crystal caves hd,1330890,8,213,2,Very Positive,215,4300,Unity Engine,False,7.99,7.99,0.0,USD, True, False, True,apogee entertainment,"Oct 15, 2020",0
175,pewdiepie: legend of the brofist,390520,8,1070,103,Very Positive,1173,23460,Unity Engine,False,7.99,7.99,0.0,USD, True, True, False,outerminds inc.,"Dec 10, 2015",0
176,wasteland 2,240760,8,3750,807,Very Positive,4557,91140,Unity Engine,False,29.99,29.99,0.0,USD, True, True, True,inxile entertainment,"Sep 18, 2014",17
177,katamari damacy reroll,848350,8,2916,226,Very Positive,3142,62840,Unity Engine,False,29.99,29.99,0.0,USD, True, False, False,bandai namco entertainment,"Dec 6, 2018",0
178,death's door,894020,8,10111,639,Very Positive,10750,215000,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,devolver digital,"Jul 20, 2021",0
179,jungle rumble,1608210,0,2,1,3 user reviews,3,60,Unity Engine,False,10.99,10.99,0.0,USD, True, False, False,kovalevviktor,"May 2, 2021",0
180,hot lava,382560,8,3768,270,Very Positive,4038,80760,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,klei entertainment,"Sep 19, 2019",0
181,gris,683320,9,48545,1616,Overwhelmingly Positive,50161,1003220,Unity Engine,False,16.99,16.99,0.0,USD, True, True, False,devolver digital,"Dec 13, 2018",0
182,albion online,761890,6,1286,486,Mostly Positive,1772,35440,Unity Engine,True,,,,, True, True, True,sandbox interactive gmbh,"May 16, 2018",0
183,pac-man world re-pac,1859470,8,293,13,Very Positive,306,6120,Unity Engine,False,29.99,29.99,0.0,USD, True, False, False,bandai namco entertainment,"Aug 25, 2022",0
184,forced,249990,6,1298,444,Mostly Positive,1742,34840,Unity Engine,False,14.99,14.99,0.0,USD, True, True, True,betadwarf,"Oct 24, 2013",0
185,"sir, you are being hunted",242880,6,2263,577,Mostly Positive,2840,56800,Unity Engine,False,19.99,19.99,0.0,USD, True, False, True,big robot ltd,"May 2, 2014",0
186,slender: the arrival,252330,8,5376,726,Very Positive,6102,122040,Unity Engine,False,9.99,9.99,0.0,USD, True, True, False,blue isle publishing,"Oct 28, 2013",0
187,dungeons 2,262280,6,1616,457,Mostly Positive,2073,41460,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,kalypso media digital,"Apr 24, 2015",0
188,big buck hunter arcade,455700,5,29,15,Mixed,44,880,Unity Engine,False,9.99,9.99,0.0,USD, True, False, False,gamemill entertainment,"Oct 25, 2016",0
189,little witch academia: chamber of time,710470,6,722,208,Mostly Positive,930,18600,Unity Engine,False,39.99,39.99,0.0,USD, True, False, False,bandai namco entertainment,"May 15, 2018",0
190,star trek timelines,600750,0,3,1,4 user reviews,4,80,Unity Engine,True,,,,, True, False, False,tilting point,"Jul 12, 2017",0
191,dead effect 2,394760,6,1221,464,Mostly Positive,1685,33700,Unity Engine,False,11.99,11.99,0.0,USD, True, True, False,app holdings,"May 6, 2016",0
192,subnautica,264710,9,179503,6616,Overwhelmingly Positive,186119,3722380,Unity Engine,False,29.99,29.99,0.0,USD, True, True, False,unknown worlds entertainment,"Jan 23, 2018",0
193,shadowverse,453480,8,290,66,Very Positive,356,7120,Unity Engine,True,,,,, True, True, False,"['cygames', ' inc.', ' cygames korea inc.']","Oct 27, 2016",0
194,boneworks,823500,8,27660,2325,Very Positive,29985,599700,Unity Engine,False,29.99,29.99,0.0,USD, True, False, False,stress level zero,"Dec 10, 2019",0
195,untitled goose game,837470,9,10201,424,Overwhelmingly Positive,10625,212500,Unity Engine,False,17.007462686567163,17.007462686567163,0.0,CAD, True, True, False,panic,"23 Sep, 2020",0
196,rune factory 5,1702330,8,579,136,Very Positive,715,14300,Unity Engine,False,49.99,49.99,0.0,USD, True, False, False,"['xseed games', ' marvelous usa', ' inc.', ' marvelous']","Jul 13, 2022",0
197,tabletop simulator,286160,9,31328,1293,Overwhelmingly Positive,32621,652420,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,berserk games,"Jun 5, 2015",0
198,"that dragon, cancer",419460,8,1041,115,Very Positive,1156,23120,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,numinous games,"Jan 11, 2016",0
199,the novelist,245150,6,417,112,Mostly Positive,529,10580,Unity Engine,False,4.99,4.99,0.0,USD, True, True, True,,"Dec 10, 2013",0
200,frog fractions: game of the decade edition,1194840,8,70,0,Very Positive,70,1400,Unity Engine,True,,,,, True, True, False,"['twinbeard', ' inc.']","Aug 2, 2020",0
201,fall guys,1097150,8,338905,75042,Very Positive,413947,8278940,Unity Engine,False,,,,, True, False, False,,"3 Aug, 2020",0
202,homeworld: deserts of kharak,281610,8,4928,1018,Very Positive,5946,118920,Unity Engine,False,49.99,49.99,0.0,USD, True, True, False,gearbox publishing,"Jan 20, 2016",0
203,atom rpg,552620,8,6737,872,Very Positive,7609,152180,Unity Engine,False,14.99,14.99,0.0,USD, True, True, True,atomteam,"Dec 19, 2018",0
204,superhot,322500,8,18815,1974,Very Positive,20789,415780,Unity Engine,False,24.99,24.99,0.0,USD, True, True, True,superhot team,"Feb 25, 2016",0
205,power rangers: battle for the grid,1110100,8,904,121,Very Positive,1025,20500,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,"['nway', ' inc']","Sep 24, 2019",0
206,oxenfree,388880,8,7379,593,Very Positive,7972,159440,Unity Engine,False,8.574626865671641,8.574626865671641,0.0,CAD, True, True, True,night school studio,"14 Jan, 2016",0
207,flotsam,821250,6,1543,524,Mostly Positive,2067,41340,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,pajama llama games,"Sep 26, 2019",0
208,fractal,566180,0,2,3,5 user reviews,5,100,Unity Engine,False,6.99,6.99,0.0,USD, True, False, False,phosphene designs llc,"Jan 12, 2017",0
209,super monkey ball: banana blitz hd,1061730,5,150,112,Mixed,262,5240,Unity Engine,False,29.99,29.99,0.0,USD, True, False, False,sega,"Dec 10, 2019",0
210,forgotton anne,542050,8,1098,105,Very Positive,1203,24060,Unity Engine,False,19.99,19.99,0.0,USD, True, True, False,throughline games,"May 15, 2018",0
211,chaos reborn,319050,6,592,194,Mostly Positive,786,15720,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,snapshot games inc.,"Oct 26, 2015",0
212,rollercoaster tycoon world,282560,4,766,2252,Mostly Negative,3018,60360,Unity Engine,False,14.99,14.99,0.0,USD, True, False, False,"['atari', ' rcto productions']","Nov 16, 2016",0
213,freedom planet 2,595500,9,673,27,Overwhelmingly Positive,700,14000,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,galaxytrail,"Sep 13, 2022",0
214,return of the obra dinn,653530,9,15585,518,Overwhelmingly Positive,16103,322060,Unity Engine,False,17.007462686567163,17.007462686567163,0.0,CAD, True, True, False,3909,"18 Oct, 2018",0
215,grow home,323320,8,3237,242,Very Positive,3479,69580,Unity Engine,False,7.99,7.99,0.0,USD, True, False, True,ubisoft,"Feb 4, 2015",0
216,space hulk,242570,6,1051,442,Mostly Positive,1493,29860,Unity Engine,False,,,,, True, True, True,full control,"Aug 15, 2013",0
217,florence,1102130,8,6714,470,Very Positive,7184,143680,Unity Engine,False,5.99,5.99,0.0,USD, True, True, False,annapurna interactive,"Feb 13, 2020",0
218,the bridge,204240,8,2749,357,Very Positive,3106,62120,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,the quantum astrophysicists guild,"Feb 22, 2013",0
219,moebius: empire rising,264520,6,108,30,Mostly Positive,138,2760,Unity Engine,False,14.99,14.99,0.0,USD, True, True, True,phoenix online publishing,"Apr 15, 2014",0
220,crayola scoot,772530,6,23,8,Mostly Positive,31,620,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,outright games ltd.,"Oct 16, 2018",0
221,ghost of a tale,417290,8,3034,264,Very Positive,3298,65960,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,seithcg,"Mar 13, 2018",0
222,temtem,745920,8,24347,4422,Very Positive,28769,575380,Unity Engine,False,25.091078066914502,25.091078066914502,0.0,BRL, True, False, False,humble games,6/set./2022,10
223,defunct,359350,8,404,91,Very Positive,495,9900,Unity Engine,False,9.99,9.99,0.0,USD, True, False, False,soedesco,"Jan 29, 2016",0
224,layers of fear,391720,8,9998,1031,Very Positive,11029,220580,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,bloober team sa,"Feb 15, 2016",0
225,doki doki literature club plus!,1388880,9,15552,524,Overwhelmingly Positive,16076,321520,Unity Engine,False,14.99,14.99,0.0,USD, True, True, False,serenity forge,"Jun 30, 2021",0
226,streets of rogue,512900,9,11909,426,Overwhelmingly Positive,12335,246700,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,tinybuild,"Jul 12, 2019",0
227,140,242820,8,1738,102,Very Positive,1840,36800,Unity Engine,False,4.99,4.99,0.0,USD, True, True, True,carlsen games,"Oct 16, 2013",0
228,adventures of pip,303550,8,122,20,Very Positive,142,2840,Unity Engine,False,9.99,9.99,0.0,USD, True, True, False,tic toc games,"Jun 4, 2015",0
229,there is no game: wrong dimension,1240210,9,15858,326,Overwhelmingly Positive,16184,323680,Unity Engine,False,12.99,12.99,0.0,USD, True, True, False,draw me a pixel,"Aug 6, 2020",0
230,paw patrol: on a roll,758730,8,211,37,Very Positive,248,4960,Unity Engine,False,29.99,29.99,0.0,USD, True, False, False,outright games ltd.,"Oct 23, 2018",0
231,hellpoint,628670,6,1647,450,Mostly Positive,2097,41940,Unity Engine,False,34.99,34.99,0.0,USD, True, True, True,tinybuild,"Jul 30, 2020",0
232,assault android cactus,250110,8,1102,59,Very Positive,1161,23220,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,witch beam,"Sep 23, 2015",0
233,super bomberman r,702700,5,191,152,Mixed,343,6860,Unity Engine,False,39.99,39.99,0.0,USD, True, False, False,konami digital entertainment,"Jun 12, 2018",0
234,in other waters,890720,8,944,89,Very Positive,1033,20660,Unity Engine,False,4.49,14.99,70.0,USD, True, True, False,fellow traveller,"Apr 3, 2020",0
235,torment: tides of numenera,272270,6,1257,499,Mostly Positive,1756,35120,Unity Engine,False,34.99,34.99,0.0,USD, True, True, True,inxile entertainment,"Feb 27, 2017",17
236,lifeless planet,261530,6,1800,515,Mostly Positive,2315,46300,Unity Engine,False,19.99,19.99,0.0,USD, True, False, True,serenity forge,"Jun 6, 2014",0
237,project hospital,868360,8,4700,640,Very Positive,5340,106800,Unity Engine,False,24.99,24.99,0.0,USD, True, True, True,oxymoron games,"Oct 30, 2018",0
238,death squared,471810,8,296,24,Very Positive,320,6400,Unity Engine,False,14.99,14.99,0.0,USD, True, True, False,smg studio,"Mar 13, 2017",0
239,stranded deep,313120,6,25962,8290,Mostly Positive,34252,685040,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,beam team publishing,"Aug 10, 2022",0
240,slime rancher,433340,9,85028,1807,Overwhelmingly Positive,86835,1736700,Unity Engine,False,16.41044776119403,16.41044776119403,0.0,CAD, True, True, True,monomi park,"1 Aug, 2017",0
241,transformers: battlegrounds,1177000,7,40,7,Positive,47,940,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,outright games ltd.,"Oct 22, 2020",0
242,sairento vr,555880,8,1199,172,Very Positive,1371,27420,Unity Engine,False,29.99,29.99,0.0,USD, True, False, False,mixed realms pte ltd,"Feb 6, 2018",0
243,deus ex: the fall,258180,4,1161,2064,Mostly Negative,3225,64500,Unity Engine,False,9.99,9.99,0.0,USD, True, False, False,square enix,"Mar 17, 2014",17
244,alba: a wildlife adventure,1337010,9,2879,61,Overwhelmingly Positive,2940,58800,Unity Engine,False,16.99,16.99,0.0,USD, True, False, False,"['ustwo games', ' pid games']","Dec 11, 2020",0
245,dungeons 3,493900,8,10776,658,Very Positive,11434,228680,Unity Engine,False,29.99,29.99,0.0,USD, True, True, True,kalypso media,"Oct 13, 2017",0
246,plague inc: evolved,246620,8,37772,2208,Very Positive,39980,799600,Unity Engine,False,14.99,14.99,0.0,USD, True, True, True,ndemic creations,"Feb 18, 2016",0
247,dreamfall chapters,237850,8,2434,509,Very Positive,2943,58860,Unity Engine,False,24.99,24.99,0.0,USD, True, True, True,red thread games,"Jul 21, 2017",0
248,ape out,447150,8,2069,127,Very Positive,2196,43920,Unity Engine,False,14.544776119402982,14.544776119402982,0.0,CAD, True, True, False,devolver digital,"28 Feb, 2019",0
249,donut county,702670,8,5604,613,Very Positive,6217,124340,Unity Engine,False,12.99,12.99,0.0,USD, True, True, False,annapurna interactive,"Aug 28, 2018",0
250,wasteland 3,719040,8,10401,1968,Very Positive,12369,247380,Unity Engine,False,33.94776119402985,33.94776119402985,0.0,CAD, True, True, True,inxile entertainment,"27 Aug, 2020",0
251,kentucky route zero,231200,8,1873,392,Very Positive,2265,45300,Unity Engine,False,24.99,24.99,0.0,USD, True, True, True,cardboard computer,"Feb 22, 2013",0
252,oxygen not included,457140,9,80317,2892,Overwhelmingly Positive,83209,1664180,Unity Engine,False,24.99,24.99,0.0,USD, True, True, True,klei entertainment,"Jul 30, 2019",0
253,besiege,346010,9,38177,1739,Overwhelmingly Positive,39916,798320,Unity Engine,False,7.49,14.99,50.0,USD, True, True, True,spiderling studios,"Feb 18, 2020",0
254,the silver case,476650,8,402,67,Very Positive,469,9380,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,grasshopper manufacture inc.,"Oct 6, 2016",0
255,deemo -reborn-,1282210,8,2443,337,Very Positive,2780,55600,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,rayark international limited,"Sep 3, 2020",0
256,the room,288160,9,19854,458,Overwhelmingly Positive,20312,406240,Unity Engine,False,4.99,4.99,0.0,USD, True, False, False,fireproof games,"Jul 28, 2014",0
257,valley,378610,8,5366,499,Very Positive,5865,117300,Unity Engine,False,14.99,14.99,0.0,USD, True, True, True,blue isle publishing,"Aug 24, 2016",0
258,super lucky's tale,847360,8,316,54,Very Positive,370,7400,Unity Engine,False,29.99,29.99,0.0,USD, True, False, False,xbox game studios,"Sep 14, 2018",0
259,everything,582270,8,2309,442,Very Positive,2751,55020,Unity Engine,False,14.917910447761193,14.917910447761193,0.0,CAD, True, True, True,"['david oreilly', ' playism (japan)']","21 Apr, 2017",0
260,shellshock live,326460,8,23891,1602,Very Positive,25493,509860,Unity Engine,False,6.99,6.99,0.0,USD, True, True, True,kchamp games,"May 22, 2020",0
261,pathfinder: kingmaker,640820,6,17612,4866,Mostly Positive,22478,449560,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,prime matter,"Sep 25, 2018",0
262,pillars of eternity ii: deadfire,560130,8,9503,1413,Very Positive,10916,218320,Unity Engine,False,9.99,39.99,75.0,USD, True, True, True,"['versus evil', ' obsidian entertainment']","May 8, 2018",17
263,sylvio,362860,6,83,26,Mostly Positive,109,2180,Unity Engine,False,12.99,12.99,0.0,USD, True, True, False,stroboskop,"Jun 5, 2015",0
264,firewatch,383870,8,48232,6205,Very Positive,54437,1088740,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,"['panic', ' campo santo']","Feb 9, 2016",0
265,vrchat,438100,8,126,25,Very Positive,151,3020,Unity Engine,True,,,,, True, False, False,vrchat inc.,"Feb 1, 2017",0
266,the forest,242760,9,327897,16141,Overwhelmingly Positive,344038,6880760,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,endnight games ltd,"Apr 30, 2018",18
267,broforce,274190,9,39041,1161,Overwhelmingly Positive,40202,804040,Unity Engine,False,14.99,14.99,0.0,USD, True, True, True,devolver digital,"Oct 15, 2015",0
268,kairo,233230,6,1076,373,Mostly Positive,1449,28980,Unity Engine,False,4.99,4.99,0.0,USD, True, True, True,lupus studios limited,"Apr 24, 2013",0
269,phoenix point,839770,6,2472,934,Mostly Positive,3406,68120,Unity Engine,False,24.99,24.99,0.0,USD, True, True, False,snapshot games inc.,"Dec 3, 2020",0
270,organ trail: director's cut,233740,8,1915,215,Very Positive,2130,42600,Unity Engine,False,4.99,4.99,0.0,USD, True, True, True,the men who wear many hats,"Mar 19, 2013",0
271,the mummy demastered,630310,8,328,75,Very Positive,403,8060,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,wayforward,"Oct 24, 2017",0
272,pikuniku,572890,9,4685,189,Overwhelmingly Positive,4874,97480,Unity Engine,False,12.99,12.99,0.0,USD, True, True, True,devolver digital,"Jan 24, 2019",0
273,battletoads,1244950,5,1090,471,Mixed,1561,31220,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,"['microsoft studios', ' rare ltd']","Aug 20, 2020",10
274,the room two,425580,9,14144,312,Overwhelmingly Positive,14456,289120,Unity Engine,False,4.99,4.99,0.0,USD, True, False, False,fireproof games,"Jul 5, 2016",0
275,unturned,304930,8,6979,729,Very Positive,7708,154160,Unity Engine,True,,,,, True, True, True,smartly dressed games,"Jul 7, 2017",0
276,sudden strike 4,373930,6,3915,1165,Mostly Positive,5080,101600,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,kalypso media,"Aug 11, 2017",0
277,knights and bikes,592480,8,270,23,Very Positive,293,5860,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,"['foam sword', ' playism']","Aug 26, 2019",0
278,outward,794260,6,12168,4210,Mostly Positive,16378,327560,Unity Engine,False,17.99,39.99,55.0,USD, True, False, False,prime matter,"May 17, 2022",0
279,sunless sea,304650,8,5643,1058,Very Positive,6701,134020,Unity Engine,False,18.99,18.99,0.0,USD, True, True, True,failbetter games,"Feb 6, 2015",0
280,ultimate chicken horse,386940,9,22283,791,Overwhelmingly Positive,23074,461480,Unity Engine,False,14.99,14.99,0.0,USD, True, True, True,clever endeavour games,"Mar 4, 2016",0
281,hardspace: shipbreaker,1161580,8,11549,1401,Very Positive,12950,259000,Unity Engine,False,34.99,34.99,0.0,USD, True, False, False,focus entertainment,"May 24, 2022",0
282,uboat,494840,8,10619,2519,Very Positive,13138,262760,Unity Engine,False,29.99,29.99,0.0,USD, True, False, False,playway s.a.,"Apr 30, 2019",0
283,shadow tactics: blades of the shogun,418240,9,24963,968,Overwhelmingly Positive,25931,518620,Unity Engine,False,39.99,39.99,0.0,USD, True, True, True,daedalic entertainment,"Dec 6, 2016",0
284,aegis defenders,371140,6,106,31,Mostly Positive,137,2740,Unity Engine,False,19.99,19.99,0.0,USD, True, True, False,humble games,"Feb 8, 2018",0
285,observation,906100,6,2694,678,Mostly Positive,3372,67440,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,devolver digital,"May 21, 2020",0
286,robocraft,301520,5,1665,863,Mixed,2528,50560,Unity Engine,True,,,,, True, True, True,freejam,"Aug 24, 2017",0
287,dear esther: landmark edition,520720,6,1183,323,Mostly Positive,1506,30120,Unity Engine,False,9.99,9.99,0.0,USD, True, True, False,secret mode,"Feb 14, 2017",0
288,nascar heat 2,670900,5,233,128,Mixed,361,7220,Unity Engine,False,12.99,12.99,0.0,USD, True, False, False,704 games company,"Sep 12, 2017",0
289,lovers in a dangerous spacetime,252110,8,2530,179,Very Positive,2709,54180,Unity Engine,False,12.679104477611938,12.679104477611938,0.0,CAD, True, True, True,asteroid base,"9 Sep, 2015",0
290,my summer car,516750,8,40252,2651,Very Positive,42903,858060,Unity Engine,False,14.99,14.99,0.0,USD, True, False, False,amistech games,"Oct 24, 2016",0
291,nascar heat 3,905450,6,316,107,Mostly Positive,423,8460,Unity Engine,False,12.99,12.99,0.0,USD, True, False, False,704 games company,"Sep 7, 2018",0
292,pga tour 2k21,1016120,8,4168,769,Very Positive,4937,98740,Unity Engine,False,59.99,59.99,0.0,USD, True, False, False,2k,"Aug 20, 2020",0
293,eco,382310,8,6668,1475,Very Positive,8143,162860,Unity Engine,False,29.99,29.99,0.0,USD, True, False, False,strange loop games,"Feb 6, 2018",0
294,cypher,746710,8,492,41,Very Positive,533,10660,Unity Engine,False,4.99,4.99,0.0,USD, True, False, False,matthew brown,"Feb 20, 2018",0
295,descenders,681280,9,9609,444,Overwhelmingly Positive,10053,201060,Unity Engine,False,24.99,24.99,0.0,USD, True, True, True,no more robots,"May 7, 2019",0
296,crawl,293780,9,4444,217,Overwhelmingly Positive,4661,93220,Unity Engine,False,15.45360824742268,15.45360824742268,0.0,EUR, True, True, True,powerhoof,11 ABR 2017,0
297,car mechanic simulator 2014,270850,8,3144,688,Very Positive,3832,76640,Unity Engine,False,0.69,6.99,90.0,USD, True, True, False,playway s.a.,"Jan 24, 2014",0
298,triple town,209950,8,491,37,Very Positive,528,10560,Unity Engine,False,9.99,9.99,0.0,USD, True, True, False,spry fox llc,"Dec 6, 2012",0
299,overload,448850,8,1238,72,Very Positive,1310,26200,Unity Engine,False,29.99,29.99,0.0,USD, True, True, True,"['revival productions', ' llc']","May 31, 2018",0
300,monument valley,1927720,9,741,9,Overwhelmingly Positive,750,15000,Unity Engine,False,7.99,7.99,0.0,USD, True, False, False,ustwo games,"Jul 12, 2022",0
301,kerbal space program,220200,9,82574,4202,Overwhelmingly Positive,86776,1735520,Unity Engine,False,39.99,39.99,0.0,USD, True, True, True,private division ,"Apr 27, 2015",0
302,subnautica: below zero,848450,8,59194,5641,Very Positive,64835,1296700,Unity Engine,False,29.99,29.99,0.0,USD, True, True, False,unknown worlds entertainment,"May 13, 2021",0
303,river city girls,1049320,8,1760,306,Very Positive,2066,41320,Unity Engine,False,29.99,29.99,0.0,USD, True, False, False,"['wayforward ', ' arc system works']","Sep 5, 2019",0
304,syberia 3,464340,5,1214,1121,Mixed,2335,46700,Unity Engine,False,29.99,29.99,0.0,USD, True, True, False,microids,"Nov 13, 2017",0
305,demon turf,1325900,8,230,29,Very Positive,259,5180,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,playtonic friends,"Nov 4, 2021",0
306,haven,983970,8,2824,229,Very Positive,3053,61060,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,the game bakers,"Dec 3, 2020",0
307,the stanley parable: ultra deluxe,1703340,8,13680,907,Very Positive,14587,291740,Unity Engine,False,24.99,24.99,0.0,USD, True, True, True,crows crows crows,"Apr 27, 2022",0
308,dead secret,402260,8,351,85,Very Positive,436,8720,Unity Engine,False,14.99,14.99,0.0,USD, True, True, False,robot invader,"Mar 28, 2016",0
309,getting over it with bennett foddy,240720,8,39674,7990,Very Positive,47664,953280,Unity Engine,False,7.99,7.99,0.0,USD, True, True, True,bennett foddy,"Dec 6, 2017",0
310,viridi,375950,8,121,11,Very Positive,132,2640,Unity Engine,True,,,,, True, True, True,ice water games,"Aug 19, 2015",0
311,chessaria: the tactical adventure,575340,6,69,21,Mostly Positive,90,1800,Unity Engine,False,19.99,19.99,0.0,USD, True, True, False,pixel wizards,"Mar 8, 2018",0
312,praey for the gods,494430,8,1539,275,Very Positive,1814,36280,Unity Engine,False,29.99,29.99,0.0,USD, True, False, False,no matter studios,"Dec 14, 2021",0
313,castle story,227860,5,4557,2577,Mixed,7134,142680,Unity Engine,False,24.99,24.99,0.0,USD, True, True, True,sauropod studio,"Aug 17, 2017",0
314,shadowrun returns,234650,8,7722,982,Very Positive,8704,174080,Unity Engine,False,14.99,14.99,0.0,USD, True, True, True,paradox interactive,"Jul 25, 2013",0
315,ravenfield,636480,9,49542,1425,Overwhelmingly Positive,50967,1019340,Unity Engine,False,17.99,17.99,0.0,USD, True, True, True,steelraven7,"May 18, 2017",0
316,bug fables: the everlasting sapling,1082710,9,3155,67,Overwhelmingly Positive,3222,64440,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,dangen entertainment,"Nov 21, 2019",0
317,blues and bullets,378660,5,669,429,Mixed,1098,21960,Unity Engine,False,4.99,4.99,0.0,USD, True, True, True,a crowd of monsters,"Jul 22, 2015",0
318,risk of rain 2,632360,9,138238,4813,Overwhelmingly Positive,143051,2861020,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,gearbox publishing,"Aug 11, 2020",0
319,ori and the blind forest,261570,9,39870,1916,Overwhelmingly Positive,41786,835720,Unity Engine,False,,,,, True, False, False,xbox game studios,"Mar 10, 2015",0
320,shovel knight dig,1416050,6,293,121,Mostly Positive,414,8280,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,yacht club games,"Sep 23, 2022",0
321,hotel transylvania 3: monsters overboard,757600,6,7,3,Mostly Positive,10,200,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,outright games ltd.,"Jul 10, 2018",0
322,tacoma,343860,8,2214,318,Very Positive,2532,50640,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,fullbright,"Aug 1, 2017",0
323,bus simulator 16,324310,5,1320,725,Mixed,2045,40900,Unity Engine,False,9.99,9.99,0.0,USD, True, True, False,astragon entertainment,"Mar 2, 2016",0
324,my friend pedro,557340,9,20486,789,Overwhelmingly Positive,21275,425500,Unity Engine,False,19.3955223880597,19.3955223880597,0.0,CAD, True, False, False,devolver digital,"20 Jun, 2019",0
325,beat saber,620980,9,57225,2319,Overwhelmingly Positive,59544,1190880,Unity Engine,False,29.99,29.99,0.0,USD, True, False, False,beat games,"May 21, 2019",0
326,sally face,541570,9,11479,342,Overwhelmingly Positive,11821,236420,Unity Engine,False,2.99,2.99,0.0,USD, True, True, True,portable moose,"Dec 14, 2016",0
327,gone home,232430,6,9422,2815,Mostly Positive,12237,244740,Unity Engine,False,14.99,14.99,0.0,USD, True, True, True,fullbright,"Aug 15, 2013",0
328,gang beasts,285900,8,28553,6376,Very Positive,34929,698580,Unity Engine,False,19.99,19.99,0.0,USD, True, True, True,boneloaf,"Dec 12, 2017",0
329,hollow knight,367520,9,215763,6132,Overwhelmingly Positive,221895,4437900,Unity Engine,False,14.99,14.99,0.0,USD, True, True, True,team cherry,"Feb 24, 2017",0
330,poly bridge,367450,8,12094,1078,Very Positive,13172,263440,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,dry cactus,"Jul 12, 2016",0
331,mother russia bleeds,361300,8,3177,446,Very Positive,3623,72460,Unity Engine,False,14.99,14.99,0.0,USD, True, True, True,devolver digital,"Sep 5, 2016",18
332,valheim,892970,9,298036,14367,Overwhelmingly Positive,312403,6248060,Unity Engine,False,19.99,19.99,0.0,USD, True, False, True,coffee stain publishing,"Feb 2, 2021",0
