,Game,AppID,Review Score,Positive Reviews,Negative Reviews,Review Score Description,Total Review,Units Sold (Estimated),Engine,Is Free,Price,Initial Price,Discounted Percent,Currency,Windows,Mac,Linux,Publishers,Release Date,Required Age
37,stories untold,558420,8,2927,446,Very Positive,3373,67460,Unity Engine,False,9.99,9.99,0.0,USD, True, True, False,devolver digital,"Feb 27, 2017",0
38,totally accurate battle simulator,508440,9,86256,1739,Overwhelmingly Positive,87995,1759900,Unity Engine,False,19.99,19.99,0.0,USD, True, True, False,landfall,"Apr 1, 2021",0
39,nascar heat 4,1127980,8,935,190,Very Positive,1125,22500,Unity Engine,False,14.99,14.99,0.0,USD, True, False, False,704 games company,"Sep 13, 2019",0
40,trollhunters: defenders of arcadia,1344070,6,29,8,Mostly Positive,37,740,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,outright games ltd.,"Sep 24, 2020",0
41,manifold garden,473950,9,3449,130,Overwhelmingly Positive,3579,71580,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,william chyr studio,"Oct 20, 2020",0
42,twelve minutes,1097200,6,4058,1475,Mostly Positive,5533,110660,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,annapurna interactive,"Aug 19, 2021",0
43,jack move,1099640,8,247,52,Very Positive,299,5980,Unity Engine,False,19.99,19.99,0.0,USD, True, True, False,hypetrain digital,"Sep 8, 2022",0
44,ultrakill,1229490,9,35302,451,Overwhelmingly Positive,35753,715060,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,new blood interactive,"Sep 3, 2020",0
45,syndrome,409320,5,132,62,Mixed,194,3880,Unity Engine,False,19.99,19.99,0.0,USD, True, True, False,"['camel 101', ' whispergames']","Oct 6, 2016",0
46,inside,304430,9,34440,1213,Overwhelmingly Positive,35653,713060,Unity Engine,False,19.99,19.99,0.0,USD, True, True, False,playdead,"Jul 7, 2016",0
47,zombieland: double tap - road trip,995430,5,15,10,Mixed,25,500,Unity Engine,False,39.99,39.99,0.0,USD, True, False, False,gamemill entertainment,"Oct 15, 2019",17
48,orwell,491950,8,6901,645,Very Positive,7546,150920,Unity Engine,False,9.99,9.99,0.0,USD, True, True, True,osmotic studios,"Oct 27, 2016",17
49,furi,423230,8,7134,645,Very Positive,7779,155580,Unity Engine,False,19.99,19.99,0.0,USD, True, False, False,the game bakers,"Jul 5, 2016",0
50,p.a.m.e.l.a.,427880,5,484,303,Mixed,787,15740,Unity Engine,False,24.99,24.99,0.0,USD, True, False, False,nvyve® studios,"Jun 18, 2020",0
51,yiik: a postmodern rpg,459080,5,241,114,Mixed,355,7100,Unity Engine,False,19.99,19.99,0.0,USD, True, True, False,ysbryd games,"Jan 17, 2019",0
52,7 days to die,251570,8,142842,18444,Very Positive,161286,3225720,Unity Engine,False,24.99,24.99,0.0,USD, True, True, True,the fun pimps entertainment llc,"Dec 13, 2013",0
